,energy,id,tempo,valence,artista,letra,link,nome
960,0.971,6hyZliAlUzUmU3sAeWLDwp,169.459,0.57,Offspring,"Nothing changes cause it's all the same  
The world you get's the one you give away  
It all just happens again  
Way down the line  
  
There is a chain that's never broken  
You know the story it's sad but true  
An angry man gets drunk and beats his kids  
The same old way his drunken father did  
  
What comes around well it goes around  
Nothing changes cause it's all the same  
The world you get's the one you give away  
It all just happens again  
Way down the line  
  
At 17 Shannon is pregnant  
As young as her mom when she had her  
Her kid is never gonna have a dad  
The same old way that Shannon never had  
  
What comes around well it goes around  
Nothing changes cause it's all the same  
The world you get's the one you give away  
It all just happens again  
  
Way down the line  
And all the things you learn when you're a kid  
You'll fuck up just like your parents did  
It all just happens again  
Way down the line  
  
And welfare moms have kids on welfare  
And fat parents they have fat kids too  
You know it's never gonna end  
The same old cycle's gonna start again  
What comes around well it goes around

",/o/offspring/way+down+the+line_20102636.html,Way Down The Line
964,0.139,1pjATX7sbd6Y4jMVqIvzHk,77.995,0.139,Joni Mitchell,"Rows and flows of angel hair  
And ice cream castles in the air  
And feather canyons everywhere,  
I've looked at clouds that way.  
  
But now they only block the sun,  
They rain and they snow on everyone  
So many things I would have done,  
But clouds got in my way.  
  
I've looked at clouds from both sides now  
From up and down and still somehow  
It's cloud illusions I recall  
I really don't know clouds at all  
  
Moons and Junes and Ferris wheels,  
The dizzy dancing way that you feel  
As every fairy tale comes real,  
I've looked at love that way.  
  
But now it's just another show,  
You leave 'em laughing when you go  
And if you care, don't let them know,  
Don't give yourself away.  
  
I've looked at love from both sides now  
From give and take and still somehow  
It's love's illusions I recall  
I really don't know love at all  
  
Tears and fears and feeling proud,  
To say ""I love you"" right out loud  
Dreams and schemes and circus crowds,  
I've looked at life that way.  
  
Oh but now old friends they're acting strange,  
They shake their heads, they say I've changed  
Well something's lost, but something's gained  
In living every day.  
  
I've looked at life from both sides now  
From win and lose and still somehow  
It's life's illusions I recall  
I really don't know life at all  
  
I've looked at life from both sides now  
From up and down, and still somehow  
It's life's illusions I recall  
I really don't know life at all  
  
It's life's illusions I recall  
I really don't know life  
I really don't know life at all

",/j/joni+mitchell/both+sides+now_20075289.html,"Both Sides, Now"
968,0.483,0DdTO0bKKaAgq0QeFRUohG,131.205,0.624,Phish,"Oh tequila, I turn to you like a long lost friend  
I want to kiss my Mexican cousin once again  
We'll cover every emotion from happiness to sorrow  
And the conversations I forget you'll tell me about tomorrow  
When the phone calls start, am I in bed or in a hearse?  
The things you tell me about myself can't make me feel any worse  
Well I'm awful sorry you got pissed  
Just have to cross you off the list  
of my true friends...  
And tequila's where that starts and where it ends

",/p/phish/mexican+cousin_20266665.html,Mexican Cousin
972,0.925,5o0W4LnEU80jPWYG0gE8Gz,136.936,0.799,Procol Harum,"You and me got a chance to make things right  
The writing... The writing's on the wall  
You and me got a chance to turn things 'round  
We got no time... The future's slipping  
Through our hands  
  
Learn to fly  
Where eagles only dare to try  
We're on the wing  
We dare to win  
We see the future and we're gonna make it  
Learn to live  
You know you got so much to give  
It's in the air  
It's everywhere  
We got a vision and we're gonna claim it  
  
You and me we can't turn back at all  
The die is cast... (You know) the deal is done  
You and me we knew this day would come  
And now it's here... the journey's just begun  
  
Learn to fly  
Where eagles only dare to try  
We're on the wing  
We dare to win  
We see the future and we're gonna make it  
Learn to live  
You know you got so much to give  
It's in the air  
It's everywhere  
We got a vision and we're gonna claim it

",/p/procol+harum/learn+to+fly_20111569.html,Learn To Fly
976,0.972,7qj6lBOB1QTgBmKedXuIbs,191.99,0.549,Kiss,"Alright!  
I remember the day that we met  
I needed someone, you needed someone too, yeah  
Spend time takin' all you could get  
Givin' yourself was one thing you never could do  
  
You played with my heart, played with my head  
I got to laugh when I think of the things you said  
  
Cause I stole your love, stole your love  
Ain't never gonna let you go  
I, oh yeah, stole your love, I stole your love  
Stole your love, I stole your love  
  
You never stop runnin' around  
You pick me up, then you could still put me down  
You were the girl that nobody could own  
Stay for a while, then you would leave me alone  
  
I'm somethin' different, ain't like the rest  
How does it feel to find out you're failin' your test  
  
Cause I stole your love, stole your love  
Ain't never gonna let you go  
I, I, stole your love, I stole your love  
Stole your love, I stole your love  
Guitar  
  
Listen, I stole your love, stole your love  
Ain't never gonna let you go  
I, I, stole your love, I stole your love  
Stole your love, I stole your love  
I stole your love, stole your love  
I stole your love, stole your love  
I stole your love, oh  
I, oh yeah, stole your love, I stole your love  
Stole your love, I stole your love  
I, oh yeah, stole your love,  
Oh yeah, stole your love, alright

",/k/kiss/i+stole+your+love_20079701.html,I Stole Your Love
980,0.773,7fYozX6MaNmfHoGW7bFTdK,119.944,0.893,Chaka Khan,"Chorus:  
Do you love what you feel  
Cause I love what you do to me  
Do you love what you feel  
Cause I love what you do to me  
  
Babe, when you're holdin' me  
Somehow you seem to set me free  
And when I dance with you, romance with you  
Is all I sing  
  
Chorus  
  
I've spent so many nights  
Just taking fights within myself  
Until you came to me  
And held me like nobody else  
  
Chorus  
  
Tell me 'bout the way you like it  
Anything you want is right  
You and I are close together  
Your lovin' gets me feeling better  
  
I wanna dance all  
I wanna dance all  
I wanna dance all night  
  
Everytime you're holdin' me  
  
Chorus

",/c/chaka+khan/do+you+love+what+you+feel_20028957.html,Do You Love What You Feel
984,0.853,22QNpE46VKjq7FMRDfCF0W,110.953,0.618,Keith Urban,"I watched out the window  
As you drove away  
But we got so much history, baby  
Too much good love to throw away  
  
I know I can be a headstrong man  
Got a jealous streak a country mile wide  
Its just that I'm so damn scared of losing you  
As you're fading out of sight  
  
Ooh, ooh, I don't why I do this every time  
Ooh, ooh, run the other way from a heart like mine  
  
I'm doing the same things  
I saw my father do  
'Cause I was just a kid in the corner  
Watching words as they turned black and blue  
  
I'm the son of a son of a headstrong man  
So, defensive so full of foolish pride  
But I just will not lose you, baby  
And I'm starting to realize  
  
Ooh, ooh, I think I know why I do this every time  
Ooh, ooh, run the other way from a heart like mine  
  
I know the love that we got is good  
Can I be a better man, yeah, I know I could  
Standing here in the middle of this moonlit road  
I know just what I have to do  
  
Ooh, ooh, I'm runnin' to ya fast as I can tonight  
Ooh, ooh, gotta show you what its like, gotta show you what its like  
To be loved, so loved by a heart like mine  
Gonna wrap my arms around you as strong as young desire  
'Cause for you it's all beating in a heart like mine

",/k/keith+urban/heart+like+mine_21066925.html,Heart Like Mine
988,0.746,0HEhx06WlZp28F3S4VrKVp,189.263,0.507,Zebra,"I won't be the fool in my life  
I won't change the rules in my life  
In all your silence  
I knew it all along  
You haven't got the sense to know  
What's right from what is wrong  
And I really haven't got the time to  
Tell you about the things that are absurd  
  
Don't fear tomorrow  
Don't fear tomorrow  
  
I won't play the fool to your knife, to your knife  
You can't change the tune in my sight, in my life  
With all you science, I knew it all along  
You haven't got the nerve to write the words  
Within this song  
And you really haven't got the time to tell  
Me why you really are  
You really haven't got the time to tell me  
Why you really are  
You really haven't got the time to tell me  
Why you really are  
  
Don't fear tomorrow  
Don't fear tomorrow

",/z/zebra/the+la+la+song_10198478.html,The La La Song
992,0.918,6syC6EgXMHQzAtyNz7Agxm,152.753,0.683,Ultravox,"Check out some memories I don't recognise  
Another country and another life  
Oh-oh-oh oh-oh-oh  
I find I'm strolling on a distant shore  
To meet someone I've never seen before  
Oh-oh-oh oh-oh-oh  
Oh-oh-oh oh-oh-oh oh  
Chorus:  
I'm wearing someone else's clothes again  
Walking in the streets I know again  
Back in the old familiar glow again  
I'm wearing someone else's clothes  
Painting quiet pictures in my ear  
We're driving past without a wish to steer  
Oh-oh-oh oh-oh-oh  
Driving underneath the deep blue sea  
I'm always surfacing in summer sheets  
Oh-oh-oh oh-oh-oh  
Oh-oh-oh oh-oh-oh oh  
(Chorus)  
(Chorus)  
Transfer me into a Saturday crowd  
Or merge me back into a factory town  
Oh-oh-oh oh-oh-oh  
I'm opened up for such a splendid move  
I'm making ??? with someone, I don't know who  
Oh-oh-oh oh-oh-oh  
Oh-oh-oh oh-oh-oh oh  
(Chorus)

",/u/ultravox/someone+elses+clothes_20259138.html,Someone Else's Clothes
996,0.337,7JieUoG0ks5lf3J6VFXuCj,128.368,0.141,Marillion,"Read some Kerouac and it put me on the tracks to burn a little brighter now  
Something about roman candles fizzing out, shine a little light on me now  
Found a strange fascination with a liquid fixation, alcohol can thrill me now  
It's getting late in the game to show any pride or shame  
I just burn a little brighter now, burn a little brighter now  
  
Doctor says my liver looks like leaving with my lover, need another time-out
now  
Like any sort of hero turning down to zero still standing out in any crowd  
  
Pulling seventeen with experience and dreams, sweating out a happy hour  
Where you're hiding 29 you know it ain't a crime  
To burn a little brighter now, burn a little brighter now  
  
Dr. Finlay: ""And my advice is if you maintain this lifestyle  
you won't reach 30""  
  
Torch: ""Christ - it's a romantic way to go really, it's part  
of the heritage, it's your round i'n'it?""  
  
We burn a little brighter now  
  
Read some Kerouac and it put me on the tracks to burn a little brighter now  
It was something about roman candles fizzing out, shine a little light on me
now  
Found a strange fascination with a liquid fixation, alcohol thrill me now  
Getting late in the game to show any pride or shame  
Burn a little brighter now, we burn a little brighter now  
We burn a little brighter now

",/m/marillion/torch+song_20088848.html,Torch Song
1000,0.746,2yAmGeUmxEIsWBwThgZme5,148.057,0.914,Mariah Carey,"[Damian Marley]  
2008.. Watch it! Yeah  
Yo Mariah Carey along side Gong Marley Huh  
Natty.. Check it.. Pepper!  
(Y'all know what this is)  
  
[Mariah Carey]  
Can't get him outta my mind  
Can't explain it but it's somethin 'bout him  
Makin' me high  
Like a motor revin' over and over  
It don't stop  
He cruised beside me now  
I'm flyin', drivin'  
  
Through yellow lights  
I'm ignorin' every sign of caution that they provide  
Driver's Education 101  
Slipped out of my mind  
I need me a caddy  
With some cruise control  
No, no, no  
  
I've been told so many sagas  
He brings the drama, six baby mamas  
But uh ooh  
I can't resist 'em  
Just want to kiss 'em  
I need cruise control  
  
[Chorus]  
Might need to go slow, I don't know  
Why ease up on the break  
Every time I see his face  
I'm outta control, ah I don't know  
How to stay up in my lane  
Every day and night  
He's cruisin' through my brain  
  
Wherever I go he be cruisin'  
Turn to the right ooh he so smooth with it  
Deep down inside don't want to lose him  
He already know I'm willin' to go  
Gotta get on cruise control  
  
C-R-U-I-S-E control  
C-R-U-I-S-E control  
C-R-U-I-S-E control  
C-R-U-I-S-E control  
  
Can't nobody, can't nobody tell me nothin'  
When he comes in to view  
Cause he's the flyest ting when he be cruisin'  
On me avenue  
Then da door open, de gals 'pon de block  
They be hopin, to rob the clock me say no man  
Step up step up bottle broken  
Think I'm jokin'  
  
I've been told so many sagas  
He brings the drama, six baby mamas  
But uh ooh  
I can't resist 'em  
Just want to kiss 'em  
I need cruise control  
  
[Chorus]  
  
Wherever I go he be cruisin'  
Turn to the right ooh he so smooth with it  
Deep down inside don't want to lose him  
He already know I'm willin' to go  
Gotta get on cruise control  
  
[Damian Marley]  
You put your hand in cruise control  
And you deny me if you want  
And you will starve yourself of love  
If you don't speed and break the law  
You can't get no speeding ticket  
On the highway to my heart  
And it might be a rocky road  
And you can exit if you want(Why you always..)  
Look at life just like a pessimist  
You already like a wife up in my premises  
And right ya now you cruise control it is my nemesis  
Just come again and stop and start just like a genesis  
  
[Chorus]  
  
Wherever I go he be cruisin'  
Turn to the right ooh he so smooth with it  
Deep down inside don't want to lose him  
He already know I'm willin' to go  
Gotta get on cruise control

",/m/mariah+carey/cruise+control_20731298.html,Cruise Control
1004,0.62,4xPoxOIE2P6GSWhSgNfrqs,125.833,0.914,Jim Croce,"Gonna tell you a story that you won't believe  
But I fell in love last Friday evenin'  
With a girl I saw on a bar room TV screen  
Well I was just gettin' ready to get my hat  
When she caught my eye and I put it back  
And I ordered myself a couple o' more shots and beers  
  
[Chorus]  
The night (you know) that I fell in love with a Roller Derby Queen  
(Round 'n' round, oh round 'n' round)  
The meanest hunk o' woman  
That anybody ever seen  
Down in the arena  
  
She is a five foot six and two fifteen  
A bleached-blonde mama with a streak of mean  
She knew how to knuckle  
And she knew how to scuffle and fight  
And the roller derby program said  
That she were built like a 'fridgerator with a head  
The fans called her ""Tuffy""  
But all her buddies called her ""Spike""  
  
[Chorus]  
  
Round 'n' round, go round 'n' round  
Round 'n' round, go round 'n' round  
Round 'n' round, go round 'n' round  
  
Well I could not help it but to fall in love  
With this heavy-duty woman I been speakin' of  
Things looked kind of bad  
Until the day she skated into my life  
  
Well she might be nasty she might be fat  
But I never met a person who would tell her that  
She's my big blonde bomber  
My heavy handed Hackensack mama  
  
[Chorus]  
  
Round 'n' round, go round 'n' round  
Round 'n' round, go round 'n' round  
Round 'n' round, go round 'n' round

",/j/jim+croce/roller+derby+queen_20071484.html,Roller Derby Queen
1008,0.24,4RLl3bd2kkEA0et87TOK1G,101.997,0.118,Bruce Springsteen,"Met her at a friendly little bar down along the coast  
She said it was her birthday so we had us a nice little toast  
Drove around for a while, smoked a few cigarettes  
Took her back to my place, she slipped off her party dress  
She sat for a while on the edge of the bed just talkin'  
Loose change in my pocket  
Loose change in my pocket  
  
Pint of gin in my boot cuff, I'm drivin' for a drink and a dance  
Sittin' on the next stool, miss a little time on her hands  
Yeah I knew she was trouble, but trouble sure was lookin' fine  
And when I pulled her close what I knew kinda slipped my mind  
We lay in bed and watched the moon come up crawling  
Loose change in my pocket  
Loose change in my pocket  
  
I pour another drink, wait for the night to get through  
Stars are burning in that black void so far away and blue  
  
Now I'm sittin' at a red light I feel somethin' tickin' way down  
The night's moving like a slow train crawling through this shithole town  
Got my bags packed in the back and I'm tryin' to get going again  
But red just goes to green and green goes red and then  
Then all I hear's the clock on the dash tick-tocking  
Loose change in my pocket  
Loose change in my pocket

",/b/bruce+springsteen/loose+change_20025235.html,Loose Change
1012,0.884,4QzEd6FQQTKKK8MriFgs9P,112.572,0.785,Lenny Kravitz,"This the time  
This is the vibe  
Don't you want to get onto the ride  
Come on inside  
From the outside  
The truth will set you free and you will find  
That there is a love  
That won't let you down  
And it always holds ground  
Wear your crown  
  
This love will never leave you  
This love will never let you go  
It is time for a love revolution  
It is time for a new constitution  
You are a child of the most high  
There is nothing you can't do and that is no lie  
You were designed  
To use your mind  
To move what you can't see so don't be blind  
There is a love  
That wont let you down and it always holds ground  
Wear your crown  
  
This love will never leave you  
This love will never let you go  
It is time for a love revolution  
It is time for a new constitution  
  
It is time for a love revolution  
It is time for a new constitution  
It is time for a love revolution  
It is time for a new constitution  
Yeah yeah yeah  
It is time for a love revolution  
It is time for a new constitution  
Yeah yeah yeah

",/l/lenny+kravitz/love+revolution_20668359.html,Love Revolution
1016,0.578,6g4ei8nYamaPIlY2XBMm6N,148.033,0.275,Point Of Grace,"I woke up today with a revelation  
An introduction to the truth  
I knew the world was round  
What goes up comes down  
And maybe I  
Finally got it figured out  
Chorus  
A moment is worthless  
No meaning, purpose  
Every breath is just wasted  
If you are not the center of my world  
I'm just drifting, barely existing  
Every minute without you  
Is worthless  
You know the state of my condition  
And yet you hold me anyway  
So I won't take a step unless it's your direction  
Where was I  
Before I finally realized  
Chorus  
There's a void in my heart  
Where it's empty and dark  
Without You and Your love  
Lord, I'm broken apart  
I surrender my life  
To be right where You are

",/p/point+of+grace/worthless_10207567.html,Worthless
1020,0.974,40SziqiCBzckCl9jsY9ZTS,166.892,0.544,Ramones,"There's a new sun  
Risin' up angry in the sky  
And there's a new voice  
Sayin' ""we're not afraid to die""  
Let the old world make believe  
It's blind and deaf and dumb  
But nothing can change the shape of things to come  
There are changes  
Lyin' ahead in every road  
And there are new thoughts  
Ready and waiting to explode  
When tomorrow is today  
The bells may toll for some  
But nothing can change the shape of things to come  
The future's comin' in, now  
Sweet and strong  
Ain't no-one gonna hold it back for long  
There are new dreams  
Crowdin' out old realities  
There's revolution  
Sweepin' in like a fresh new breeze  
Let the old world make believe  
It's blind and deaf and dumb  
(But) nothing can change the shape of things  
Nothing can change the shape of things  
Nothing can change the shape of things  
Nothing can change the shape of things  
To come

",/r/ramones/the+shape+of+things+to+come_20113776.html,The Shape Of Things To Come
1024,0.939,7Bbes7gYtPhLAkSYTgHGq4,120.602,0.572,Def Leppard,"Saturday, I feel right  
I been drinking all day  
Yes I got a date, a midnight ride  
I had to get it away  
  
Yeah, I'm not a loner, I'm not a fool  
Don't need a reason, reason to be cool  
I got my whiskey, I got my wine  
I got my woman, and this time the lights are going out  
(saturday night) high  
(saturday night) high 'n' dry  
(saturday night) I'm high  
(saturday night) high 'n' dry  
  
Ow, I feel bad, I feel mean  
I'm up and down and in between  
On the bottle, I'm on the line  
I'm up and feeling fine  
  
Oh take me high  
Saturday, kickin' out, her train was comin' to me  
I gotta move, number one  
Saturday night on the run  
(saturday night) high  
(saturday night) high 'n' dry  
(saturday night) got my whiskey  
(saturday night) got my wine  
(saturday night) got my woman  
(saturday night) high 'n' dry  
You gotta try me tonight

",/d/def+leppard/high+n+dry_10083197.html,High 'n' Dry
1028,0.888,2uCaOGfdLG1uVY3Y3LtOBy,179.863,0.387,Pet Shop Boys,"Dreaming of the Queen  
Visiting for tea  
You and her and I  
And Lady Di  
  
The Queen said: ""I'm aghast  
Love never seems to last  
However hard you try""  
And Di replied  
  
That there are no more lovers left alive  
No one has survived  
So there are no more lovers left alive  
And that's why love has died  
Yes, it's true  
Look, it's happened to me and you  
  
Then carriages arrived  
We stood and said goodbye  
Diana dried her eyes  
And looked surprised  
  
For I was in the nude  
The old Queen disapproved  
But people laughed and asked  
For autographs  
  
And there were no more lovers left alive  
No one had survived  
So there were no more lovers left alive  
And that's why love had died  
Yes, it's true  
Look, it's happened to me and you  
  
I woke up in a sweat  
Desolate  
  
For there were no more lovers left alive  
No one had survived  
So there were no more lovers left alive  
And that's why love had died  
Yes, it's true  
Look, it's happened to me and you  

",/p/pet+shop+boys/dreaming+of+the+queen_20107197.html,Dreaming Of The Queen
1032,0.988,6gTdrud3duWIBg8r2YdjOL,149.146,0.405,Red Hot Chili Peppers,"Next stop on the KLM  
Two lips and a sturdy stem  
A funny thing always happens when  
I get a heavy jam  
I'm gonna turn it into hydrogen  
I I, I I, I I, I I I I, I  
  
Cowgirl and a troubadour  
MGM and the lion's roar  
A straight shot to the corner store  
I wanna show you what  
I wanna show you what your head is for  
I I, I I, I I, I I I I, I  
  
So much I, wish i could  
So many I, wish i would  
So much I, wish i could  
Count on you not to defeat me  
  
So much I, wish i could  
So many I, wish i would  
So much I, wish i could  
Count on you not to defeat me  
  
Please don't turn away again  
Please don't turn me into them  
Please don't turn away friend  
Please don't turn me into them  
  
Stand by for the great eclipse  
Rip it out now shake your hips  
Backing off the apocalypse  
I gotta loosen up  
I gotta loosen up to get my grip  
I I, I I, I I, I I I I, I

",/r/red+hot+chili+peppers/so+much+i_20477900.html,So Much I
1036,0.24,4m63Vbs2gwqMP1r4scWLdd,171.701,0.24,Rod Stewart,"I drifted into the notion  
That you were looking for me  
I told myself that devotion  
Would flow from your heart to me  
  
When I looked into your eyes  
Still no reflection did I see  
Of love light glowing within there  
That I hoped there would be  
  
And it's a hard lesson to learn my friend  
A hard lesson to learn  
Sometimes you gonna get what you want  
Times you gonna get burned  
  
I took a chance on emotion  
Washing my heart out to see  
A single wave on the ocean  
You feel so distant from me  
And there's a shadow dark upon your smile  
A sadness living in your eyes  
Storm clouds rolling in an outofdaught  
Guess I been living alive  
  
And it's a hard lesson to learn my friend  
Hard lesson to learn  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
  
And it's a hard lesson to learn my friends  
Hard lesson to learn  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
  
I drifted into the notion  
That you were looking for me  
I told myself that devotion  
Would flow from your heart to me  
But when I looked into your beautiful eyes  
Still no reflection did I see  
Of love light glowing within there  
That I kind o hoped there would be  
  
And it's a hard lesson to learn my friends  
Hard lesson to learn  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
Sometimes you gonna get what you want  
Sometimes you gonna get burned  
  
Yeah, yeah,yeah  
Yeah, yeah oh  
  
Sometimes you gonna get what you want  
Sometimes you gonna get burned

",/r/rod+stewart/hard+lesson+to+learn_20117501.html,Hard Lesson To Learn
1040,0.888,4bkAVI9yq6LmkHHlb7jvEW,118.269,0.764,Vybz Kartel,"Emergency, we a suffer roun ere  
Roun ere, man a ded, tings tougher roun ere  
Crime scene gone up, tall up man ah go fa roun ere  
Missa man, whe yu doing fi the gutter roun ere?  
  
Two party, but ah de same sad song dem a play  
Poor people money lean back and rockaway  
Dem raise everyting from oil to Craven A  
So how dem no raise up everybody pay  
Portmore mi born and ah de so mi yard stay  
So mi nah pay no toll fi cross the Causeway  
Mr. Bruce, Mr. PJ  
This is just a couple question from Addi the deejay  
  
Kingston mek no AK?  
How gun come inna JA?  
Who own the wharf and the airport, the docks and the bay?  
  
Emergency, we a suffer roun ere  
Roun ere, man a ded, tings tougher roun ere  
Crime scene gone up, tall up man ah go fa roun ere  
Missa man, whe yu doing fi the gutter roun ere?  
  
Everyting except ded people ah raise  
De dead man ah 'sehe' him betta off inna the grave  
How we fi save pon minimum wage  
When two yute go high school, two go all age?  
Dem change dem face like Nicholas Cage  
True election ah come, dem temporary re-arrange  
Mi rate Bruce, mi rate PJ  
But dem waan we ded off like dog weh have mange  
Mi born a sufferer, when it ah go change?  
Mi love Portia Simpson, mi love Babsy Grange  
But if dem nuh tun a new page  
We nah wear no red or no green again  
We ah wear beige  
Fi de yute dem a de stoplight, mi a beg oonu a change  
Oonu dog a live betta dan dem, oonu outrage  
Yu know how much innocent yute dem a hundred man inna de cage  
  
Emergency, we a suffer roun ere  
Roun ere, man a ded, tings tougher roun ere  
Crime scene gone up, tall up man ah go fa roun ere  
Missa man, whe yu doing fi the gutter roun ere?

",/v/vybz+kartel/emergency_20694148.html,Emergency
1044,0.925,16AFbRYIdpesOleGTKClHs,134.94,0.196,Linkin Park,"There's a fragile game you play  
If the ghosts of yesterday  
If we can't let go whenever, say goodbye  
No trace of what remains  
No stones to mark the graves  
Only memories we thought we could deny  
  
There's so much more to lose  
Than the pain I put you through  
And my carelessness that left you in the dark  
And the blood may wash away  
But the skies will never fade  
At least I know somehow I made a mark  
  
In the dark,  
In the light  
Nothing left,  
Nothing right  
In the dark,  
In the light  
Nothing left,  
Nothing right  
  
In the dark,  
In the light  
Nothing left,  
Nothing right  
In the dark,  
In the light  
Nothing left,  
Nothing right

",/l/linkin+park/mark+the+graves_21084706.html,Mark The Graves
1048,0.911,5NWKpYgrTeux6aOvPFC43T,160.69,0.759,Lynyrd Skynyrd,"I was sittin' at home all alone when I heard that telephone ring  
And there on the line was a friend of mine sayin' he wasn't doin' a thing  
So I'm steppin' out on the town tonight to party where the drinks are free  
There's a sweet young thing ready and waitin' on me  
  
[Chorus]  
Young and fine, strike you blind  
Smokestack lightnin' make you lose your mind  
She's got looks that kill can fire at will  
Smokestack lightnin' she's all I need  
  
When we got to the place I got me a taste  
I knew she'd be good for a game  
Dancin' out on the floor she was ready for more  
She knew all the boys by their names  
I said hey sweet thing let me pull your string  
Let me take you home  
I woke up in a hour with my money and my memory gone.  
  
[Chorus]  
  
Young and fine strike you blind smokestack lightnin'  
  
[Chorus]

",/l/lynyrd+skynyrd/smokestack+lightning_20086120.html,Smokestack Lightning
1052,0.156,7yvskgRZl1J6i0yEcUKqW8,80.984,0.6,Louis Armstrong,"Why don't you rock my soul?  
(In the bosom of Abraham)  
Why don't you rock my soul?  
(In the bosom of Abraham)  
  
Why don't you rock my soul?  
(In the bosom of Abraham)  
Oh, rock my soul  
  
I would not be a sinner  
I'm tellin' you the reason why  
I'm afraid my Lord might call me  
Great God, and I wouldn't be ready to die  
  
Hmm, baby, won't you rock my soul?  
(In the bosom of Abraham)  
Why don't you rock my soul?  
(In the bosom of Abraham)  
  
Why don't you rock my soul?  
(In the bosom of Abraham)  
Oh, rock my soul  
  
I would not be a liar  
I'm tellin' you the reason why  
I'm afraid my Lord might call me  
Great God, and I wouldn't be ready to die  
  
Hmm, baby, won't you rock my soul?  
(In the bosom of Abraham)  
Why don't you rock my soul?  
(In the bosom of Abraham)  
  
Why don't you rock my soul?  
(In the bosom of Abraham)  
Oh, rock my soul  
  
I would not be a back biter  
I'm tellin' you the reason why  
I'm afraid my Lord might call me  
Great God, and I wouldn't be ready to die  
  
Hmm, baby, won't rock my soul?  
(In the bosom of Abraham)  
Why don't you rock my soul?  
(In the bosom of Abraham)  
  
Why don't you rock my soul?  
(In the bosom of Abraham)  
Oh, rock my soul  
Rock my soul, rock my soul

",/l/louis+armstrong/rock+my+soul_20826861.html,Rock My Soul
1056,0.165,3Bql73thIH18bUnMfm3oPp,133.074,0.66,Bing Crosby,"I feel so happy, I wanna shout  
Well, tell me Bing  
Tell me what it?s all about?  
I found my one idea  
And this time I'm sure it?s real  
  
Yip yip de hootie  
Got me a beauty  
She sure is a dream  
My baby said yes  
She said yes, she said yes  
She didn't say no  
  
Cock cock-a-doodle  
You're off your noodle  
You're way off the beam  
'Cause baby said yes  
She said yes, she said yes  
She couldn't say go  
  
Knock me a daisy  
Now what would I do  
With a daisy, all day?  
You wear it and bear it  
There, you sound kinda crazy  
I'm happy that way  
  
Hi diddle diddle  
March down the middle  
And now we're a team  
'Cause baby said yes  
She said yes, she said yes  
Yes, she couldn't say no  
  
Yip yip yip de hootie  
Got me a beauty  
She sure is a dream  
My baby said yes  
She said yes, she said yes  
She didn't say no  
  
Cock-a-doodle  
Off my noodle  
Off the beam  
'Cause baby said yes  
She said yes, she said yes  
She didn't say go  
  
Knock me a daisy  
That sure was a daisy  
That one was hazy  
But I'm happy that way  
  
Hi diddle diddle  
March down the middle  
And now we're a team  
'Cause baby said yes  
She said yes, she said yes  
Yes, she couldn't say no  
She couldn't say no, no, no

",/b/bing+crosby/my+baby+said+yes+yip+yip+de+hootie_20810372.html,My Baby Said Yes (Yip Yip De Hootie)
